                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1509,                 3.1925,                 1.6059,                0.31074,                0.48852,                0.33462,                0.23744,                 1.0489,                 2.9928,                 1.4839,             0.00046442,             0.00046442,             0.00046442
                      2,                 1.0897,                 1.7994,                 1.5605,                 0.2193,                0.42713,                0.25744,                0.12642,                 1.5965,                 4.9835,                 2.2669,             0.00084762,             0.00084762,             0.00084762
                      3,                 1.2408,                 1.6211,                  1.678,                 0.1364,                0.33536,                0.18732,                0.09182,                 2.0037,                 4.5345,                 2.3932,              0.0011365,              0.0011365,              0.0011365
                      4,                 1.1965,                 1.5232,                 1.6462,                0.56042,                0.47767,                0.47339,                0.31673,                 1.4274,                 3.4866,                 2.1127,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.1747,                 1.3421,                 1.6027,                0.27057,                0.45828,                 0.3304,                0.15701,                 1.6293,                 5.3094,                 1.9231,              0.0010046,              0.0010046,              0.0010046
                      6,                 1.0937,                 1.1768,                 1.5258,                0.67723,                0.51912,                0.65222,                0.45827,                 1.2275,                 1.4167,                 1.5134,             0.00086312,             0.00086312,             0.00086312
                      7,                 1.0132,                 1.0432,                 1.4519,                0.71312,                0.50081,                0.57555,                0.40235,                 1.1397,                 2.1771,                 1.5685,             0.00072164,             0.00072164,             0.00072164
                      8,                0.97793,                0.97648,                 1.4257,                0.82648,                0.66774,                 0.7912,                0.55153,                 1.1553,                 1.1962,                  1.544,             0.00058017,             0.00058017,             0.00058017
                      9,                 0.9151,                 0.8821,                 1.3654,                0.90033,                0.76902,                0.85367,                0.63992,                0.97921,                0.93195,                 1.3644,              0.0004387,              0.0004387,              0.0004387
                     10,                0.89076,                 0.7953,                 1.3351,                0.90389,                0.78046,                0.85752,                0.65089,                0.85189,                 1.0279,                 1.3168,             0.00029723,             0.00029723,             0.00029723
