                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7634,                 2.8422,                 2.1989,                0.00252,                0.50032,                0.00255,                0.00088,                 3.8777,             7.5784e+06,                  51075,                0.07075,                0.00325,                0.00325
                      2,                 1.9453,                 2.6814,                 2.3395,                 0.0006,                0.13681,                0.00042,                  9e-05,                 4.3832,                  40097,                 795.88,               0.040098,              0.0059316,              0.0059316
                      3,                 1.9584,                 2.5503,                 2.3718,                 0.0055,                0.10417,                0.00429,                0.00127,                 5.0134,                 289.97,                 23.454,              0.0087865,              0.0079532,              0.0079532
                      4,                 1.7523,                 2.4036,                 2.2106,                0.00521,                0.18819,                0.00357,                0.00074,                 4.7245,                 161.07,                 8.1134,                0.00703,                0.00703,                0.00703
                      5,                 1.7096,                 2.3605,                 2.1667,                 0.0764,                0.27468,                0.08046,                0.02164,                 2.6179,                 17.261,                 3.7638,                0.00703,                0.00703,                0.00703
                      6,                 1.5689,                  2.231,                 2.0362,                0.49854,                0.24306,                0.15603,                0.06886,                 2.2786,                 7.0162,                 3.0958,                0.00604,                0.00604,                0.00604
                      7,                 1.5659,                 2.1485,                 1.9991,                0.20119,                0.41234,                0.19479,                0.06879,                 1.9815,                 4.7033,                 2.4894,                0.00505,                0.00505,                0.00505
                      8,                 1.5123,                 2.0687,                 1.9502,                0.54939,                0.43953,                0.46441,                0.27666,                 1.6119,                 2.0346,                 2.1333,                0.00406,                0.00406,                0.00406
                      9,                 1.4389,                 1.8686,                 1.9027,                0.49311,                0.44092,                0.46189,                0.26509,                 1.4938,                 1.8732,                 1.9083,                0.00307,                0.00307,                0.00307
                     10,                 1.3768,                 1.7886,                 1.8016,                0.58284,                0.53197,                0.50861,                0.33589,                 1.4814,                 1.7878,                 1.8787,                0.00208,                0.00208,                0.00208
